,title,date,body,creators,subjects
0,Telegram from Aleksandr Vasilevsky to Stalin,19450818,"18.8.45Moscow. Personally to Cde. StalinCopy: personally to Cde. Bulganin and AntonovThe forces of the Far Eastern Front in the course of August 17 continued to implement the task put before them under sharply diminished resistance of the adversary. Along some directions during the day there were instances of capitulation of separate contingents and detachments of the adversary, and also the dispatch of parliamentarians to us. Both the statement of the Kwantung Army to the Soviet Army in the Far East, and the reports of the parliamentarians, speak about the order given to the forces of the Kwantung Army about stopping military actions of the Japanese army and capitulation. During the day up to 25000 Japanese-Manchurian soldiers and officers were disarmed. Capitulation continues, even though skirmishes occur along parts of the front. On the basis of the tasks put before the forces of the Far East and the Pacific Ocean Fleet, that is: occupation of the territory of all of Manchuria, Inner Mongolia, Liaodong Peninsula with the ports of Dairen [Dalian] [and] Port Arthur, Korea up to the 38th  parallel, southern half of the island of Sakhalin, half of the island of Hokkaido to the north of the line going from the town of Kushiro to the town of Rumoe [sic], including both of the said towns in the Soviet area, and fully all of the Kurile islands, the forces of the front, for the coming period, have been given the following tasks:The Transbaikal Front together with the forces of the MPR [Mongolian People’s Republic] are to occupy territories of Manchuria and Inner Mongolia within the line [running] from Tsitsihar until Changchun, Tonghua and further along the Zhujian [sic] (Yalu) River until the Korean bay, fully the Liaodong and the Kwantung peninsulas and further until the southern borders of former Manchuria and Inner Mongolia. With this, the forces of the front must occupy with land forces the city of Changchun no later than 20.8.45, the city of Mukden [Shenyang]—21.8, Liaodong and Kwantung peninsulas—28.8.45. To expedite the occupation of cities of Changchun and Mukden, Commander of the Front has been ordered to dispatch, on 18.8.45, his representatives to the aforesaid cities, with the command of the Kwantung Army being warned about it ahead of time. The 1st Far Eastern front is to occupy the territory of Manchuria to the south of the Boli line, inclusive of Harbin, and to the east of the line [extending from] Changchun, [to] Tonghua, Zhujian [sic]  (Yalu) River and the territory of Korea, including all the way to the 38th parallel. To expedite the occupation of the cities of Harbin and Kirin no later than the morning of 1.9.45.[During?] the occupation of the city of Kirin and the city of Harbin, on 18.8.45, commander of the Front sends his representatives by airplane. Simultaneously, the forces of the Front are tasked with the occupation of half of the island of Hokkaido, to the north of the line extending from the city of Kushiro until the city of Rumoe [sic] and the southern part of the Kurile Islands until the island of Shimushiru-to [Shimushir], inclusive. To this end, the command of the Front, with the help of ships of the POF [Pacific Ocean Fleet] and the merchant fleet, in the period from 19.8.45 to 1.9.45 will transport, one after another, three rifle divisions of the 87th rifle corps headed by the head of the corps Ksenofonov, with the deployment of two of them to the island of Hokkaido and one to the Kurile Islands. [Illegible] the island of Hokkaido. Together with the 87th rifle corps, one destroyer and one bomber division from the 9th air army will be relocated [there].The 2nd Far Eastern Front is to occupy, by 20.8.45, the territory of northern Manchuria within the Boli line, exclusive or Harbin, exclusive of Tsitsihar. Simultaneously, the forces of the Front have been tasked with occupation of the southern part of the island of Sakhalin and the northern part of the Kurile Islands to the island of Shimushiru-to [Shimushir], inclusive. For the occupation of the southern half of the island of Sakhalin, one is to use the forces that are currently located there; later, another rifle division will be additionally supplied. We will begin occupation in the morning on 18.8. For the occupation of the northern part of the Kurile Islands two rifle regiments from the 101st rifle division, located in Kamchatka, are to be transported to the islands. Subsequently we think to strengthen the region of Kamchatka and the northern part of the Kurile Islands with another rifle division, entrusting the management of all forces here to the head of Kamchatka defense region. To strengthen defense of Kamchatka, the Kurile Islands, the islands [sic] of Sakhalin and the island of Hokkaido, in accordance with your instructions, we are asking for your permission, during the period from 20.8 until 10.9.45 to relocate a part of the forces of the POF to Petropavlosk in Kamchatka and its main forces to the port of Otomari (southern part of Sakhalin) with the calculation to have: In Petropavlovsk in Kamchatka—a brigade of coastguard ships, a brigade of submarines, a division of mine-layers, a division of torpedo boats, a division of trawlers, one air regiment of sea bombers;In the area of the port of Otomari—a division of coastguard ships, a division of submarines, a division of torpedo boats, a division of trawlers, [illegible] air division of sea air force;For strengthening the defense of Korea, we are thinking to create in the region of the port of Cheongjin a [illegible] defensive area, bringing into it: one division of mine-layers, a division of torpedo boats, a division of trawlers, 113th naval infantry brigade. The main attention in the area—defense of the ports: Rason, Cheongjin and Wonsan.With respect to the introduction of naval forces to the region of the ports of Dairen [Dalian] and Port Arthur [Lüshun], [we] require your additional instructions. [We] also need your permission for [illegible] for naval transfers of troops [illegible] merchant fleet [illegible] until 15.9.45. All of the preliminary directives on the present plan have been given by the commander of the Front.Instructions to the commander of the POF together with Admiral Kuznetsov will be made on 18.8 personally in Vladivostok. Simultaneously with the implementation of the tasks entailed in the present plan, I categorically demand from the forces of the Front to organize immediate accounting for and removal to one’s own territory of captured weaponry, foodstuff and equipment of industrial enterprises. I ask your approval or instructions on this plan. [Signed] Vasilevskii 18.8.45","['Vasilevsky, Aleksandr Mikhaylovich']","['World War, 1939-1945--Campaigns--Japan--Hokkaido', 'World War, 1939-1945--Campaigns--China--Manchuria']"
1,Cable from Aleksandr Vasilevsky to Stalin,19450820,"Moscow. Cde. StalinCopy: General Staff Cde. AntonovReporting on the situation on the Far Eastern front at the end of 19.8.45.1. On 19.8.45 on all fronts in Manchuria the resistance of the Japanese forces ceased and our forces began planned disarmament of the forces of the enemy. During the day of 19.8.45 about 65 thousand Japanese-Manchurian forces were disarmed. 2. During the day the forces of the Transbaikal Front deployed air troops with responsible representatives of the command of the Front to Changchun and Mukden [Shenyang], 250-300 people in each city. Our forces in the aforesaid cities were met with warm welcome on the part of the Japanese command and representatives of the Japanese authorities. All demands of our representatives are being fully implemented. During the night of 20.8.45 these cities are being approached by our forward mobile detachments. On 20.8.45 the cities of Changchun and Mukden will be fully secured by us. 3. Forces of the 1st Far Eastern Front during the day continued to disarm detachments of the 3rd and the 5th armies of the Japanese forces. During the day the front’s forces deployed air troops, with whose assistance the city of Kirin was captured. Mobile land forces will enter the city no later than 20.8.45.4. Forces of the 2nd Far Eastern Front continued, after capturing Shanxing [sic], without meeting enemy resistance, to move along both banks of Sungari [Songhua] River. The city of Harbin is still firmly occupied by our forces, landed on 18.8.45 by the first Far Eastern Front. On the island of Sakhalin from the morning of 19.8.45 the Japanese initiated the capitulation of their forces, which are located immediately in front of our Front. During the day of 19.8.45 more than three thousand Japanese soldiers and officers of the 88th infantry division capitulated here, and our forces moved 25 km to the south by the end of the day. From the evening of 19.08.45 from Sovgavan’ we transferred troops numbering 4220 people with artillery and transport with the aim of landing in the vicinity of the port of Maoka (southern part of Sakhalin) so as to speed up full occupation of the island. In our estimates, the island of Sakhalin should be fully occupied no later than the evening of 21.8.45. On the Kurile Islands dogged fighting continued and counter-attacks by the enemy on the island of Simusyu [Shumshu] were being beaten back until 19.8.45. From 19.00 on 19.8.45 fighting on this island ceased and the enemy, with the assistance of their parlamentarians, began general capitulation. From the morning of 20.8.45 we begin to land troops on the island of Paramushiru-to [Paramushir]. 5. On 19.8.45 I had a meeting with the head of the headquarters of the Kwantung Army Lieutenant General Hata. In accordance with your instructions [we] created the most favorable conditions for his reception in all respects. General Hata asked to hurry up with the questions of the occupation of the entire territory of Manchuria so that the Soviet forces could as quickly as possible take the Japanese army, and the Japanese population in Manchuria, under their protection. At the same time General Hata asked to postpone disarming of Japanese forces in remote regions of Manchuria and Korea until the arrival of our forces, in order to provide for necessary order and guarantee the safety of factories and possessions. As General Hata stated, the deterioration of relations between the Japanese and the Manchus, and also the Koreans in recent days has reached the limit. General Hata, requesting the quickest entry of our forces into Manchuria and, as a consequence, the capitulation of his army, at the same time requested appropriate attitude both to generals and officers, and the soldiers of the Japanese army on our part, and also appropriate sustenance and medical service for them. I gave our forces necessary instructions in this respect.6. General Hata finished his conversation with me with assurances that all my demands about the order of the implementation of capitulation will be immediately and precisely executed, and also expressed his hopes that this meeting will be guarantee future strong friendship between Japan and the USSR. To my request to inform the command of the Japanese forces defending the Kurile Islands about the pointlessness of their fight against the Soviet forces, which are striving to occupy these islands, general Hata promised to immediately turn to the Japanese headquarters with this question. At 17.00 on 19.9.45 general Hata flew to Changchun with my instructions where he landed at 21.00 under difficult weather conditions. 7. At the present time I and the command of the first Far Eastern front are seriously preoccupied with the preparation of the operation to land on the island of Hokkaido. Currently we are gathering maritime intelligence, preparing the air force, the artillery, infantry and means of transport. With your permission we will begin the maritime operation immediately after occupying the southern part of Sakhalin, approximately on 22.8.45. 8. On 19.8.45 the Emperor of Manchukuo “Pu Yi” and his retinue were delivered to the headquarters of Kravchenko’s army. In accordance with your instructions, I am interning him and I am thinking of placing him in the region of Chita. 9. In accordance with your instructions I gave directions to the Transbaikal Front command to prepare landing troops with the aim of sudden capture of the ports of Dairen [Dalian] and Port Arthur [Lüshun]. 20.8.45 3.00Vasilevsky","['Vasilevsky, Aleksandr Mikhaylovich']","['Kuril Islands', 'World War, 1939-1945--Campaigns--Japan--Hokkaido', 'World War, 1939-1945--Campaigns--China--Manchuria']"
2,"Cable No. 121973, Meretskov and Shytkov to Cde. Stalin",19470512,"[handwritten at the top: to Cde. StalinI think that [[we]] ought to support this proposal.V. Molotov. 16 May]TOP SECRET Copy Nº 2[letterhead of the Second Main Directorate of the USSR Armed Forces General Staff] [Translator’s note: which is the GRU]CABLE Nº 121973/shfrom PRIMVO [the Maritime Military District]sent at 1835 12 May 1947received at 1915 12 May 1947Arrived in the 8th Directorate of the Armed Forces General Staff at: 2015 12 May 1947[stamp: 10th department of the USSR MFA][Stalin’s handwritten reply entered across the text: Give five to eight Soviet [specialist] organizers and force the Koreans to learn. I. Stalin]MOSCOW VKP(b) CC to Cde. STALINIn accordance with a Soviet government decree of 26 July 1946 we sent you ideas in Cable Nº 15327 on 18 December 1946 about sending 82 Soviet specialists to help the People’s Committee of North Korea repair and develop industry and rail transport.So far not a single Soviet specialist has been sent to North Korea. We have repeatedly turned to the Ministry of Foreign Trade, but they tell us that the question of sending Soviet specialists should be decided by the Ministry of Foreign Affairs.In the Ministry of Foreign Affairs they say that this is a matter of the Ministry of the Armed Forces, and the latter said that it does not have specialists at its disposition and is not competent to decide this question.Thus up to now the question of selecting and sending Soviet specialists for work in North Korea has practically not been solved.The situation which has developed in North Korea requires the immediate dispatch of Soviet specialists there.All the Japanese specialists who continued to work in North Korea for some time after the Japanese surrender have been repatriated to Japan.[Translator’s note: the following paragraph was highlighted in the left Because of the shortage of engineering and technical personnel the industry and rail transport of North Korea did not fulfill the 1947 first quarter plan.The People’s Committee of North Korea has repeatedly turned to us for aid with engineering and technical personnel. However, we have not yet been given it this aid.All this creates among the People’s Committee a feeling of uncertainty that they will be able to cope with the management of nationalized industry and transport.The industry and transportation of North Korea cannot operate without the aid of Soviet or other foreign specialists. We need to send Soviet engineering and technical personnel to North Korea without delay not only to help the People’s Committee put industry and transport in order, but also to strengthen the position and influence of our country in Korea for the future.[Translator’s note: the following paragraph was highlighted in the left MERETSKOV, SHTYKOVNº 6478/sh12 May 1947Sent by Rodina at 2145 12 May 1947[At the bottom of the first page: deciphered at 1950 12 May 1947 Martynov13 copies printedCopy Nº 1 to Cde. Stalin		Copy Nº 2 to Cde. Molotov	Copy Nº 3 to Cde. Beria		Copy Nº 4 to Cde. Zhdanov	Copy Nº 5 to Cde. MalenkovCopy Nº 6 to Cde. MikoyanCopy Nº 7 to Cde. VoznesenskyCopy Nº 8 to Cde. Bulganin Copy Nº 9 to Cde. VasilevskyCopy Nº 10 to Cde. VyshinskyCopy Nº 11 to Cde. MalikCopy Nº 12 to the 8th Directorate’s fileCopy Nº 13 to the 8th Directorate’s fileChief of the 4th Department of the 8th Directorate of the General Staff of the Armed Forces [[illegible signature]]","['Shtykov, Terentiĭ Fomich, 1907-1964']","['Korea (North)--Foreign relations--Soviet Union', 'Korea (North)--Economic conditions', 'Korea (North)--Foreign relations--United States', 'Technical assistance, Soviet--Korea (North)']"
3,"Telephone Message via VCh, I. Stalin to Kim Il Sung",19481012,"Telephone message via VChCorrected text of atelegram to Kim Il Sungto Mr. Kim Il SungChairman of the Cabinet of Ministers ofthe Democratic People’s Republic of Korea 									PyongyangI confirm receipt of your letter of 8 October in which you report that the Government of the Democratic People’s Republic of Korea has begun carrying out its responsibilities and proposes establishing diplomatic relations with the USSR and exchanging ambassadors, and also establishing close [inserted by hand: appropriate] economic relations between both countries. The Soviet Government, invariably defending the right of the Korean people to the creation of its united independent country, welcomes the creation of the Democratic People’s Republic of Korea and wishes it success in its activity for the benefit of the national renaissance and democratic development of Korea. The Soviet Government expresses readiness to establish diplomatic relations between the USSR and the Democratic People’s Republic of Korea and an exchange of ambassadors and, along with this, the establishment of close [inserted by hand: appropriate] economic relations meeting the interests of both countries.I. STALINChairman of the USSR Council of Ministers[date left blank] October 1948							sent by Yerofeyev							received by Novoselova							12 October 1948								1955[handwritten: 2nn, a second copywas sent to Moscow with inventory [opis’] Nº 31 of14 October 1948]","['Stalin, Joseph, 1879-1953']","['Korea (North)--Foreign relations--Soviet Union', 'Korea (North)--Military relations--Soviet Union', 'Korea (North)--Foreign economic relations--Soviet Union', 'Korea--History--Allied occupation, 1945-1948', 'Technical assistance, Soviet--Korea (North)', 'Military assistance, Soviet--Korea (North)']"
4,"Telegram, Shtemenko and Vasilevsky to Stalin",19490420,"UNCLASSIFIEDCopy Nº 1[handwritten: from Cdes. Vasilevsky and Shtemenko]			to CDE. STALINWe report information about the situation in Korea at the 38th parallel.After the withdrawal of our troops from North Korea violations of the regime at the 38th parallel by the “Southerners” have taken on a provocative and systematic nature. In the past month these violations have become more frequent. During the entire period from 1 January through 15 April of this year 37 violations were made along the entire 38th parallel, of which 24 were in the period from 15 March through 15 April.In their nature the violations are clashes [between] police security units, from regiment to battalion in strength, accompanied by small arms and mortar fire and a crossing of the 38th parallel by the “Southerners”. In all cases of violations the initiative of opening fire came from the “Southerners”.At the same time as the aggravation of the situation at the 38th parallel during March and April the “Southerners” brought up combat forces to the 38th parallel.For example, the 1st Infantry Brigade was moved from Seoul to the region of [KAYDZIO [(KAESONG)].According to information which needs to be verified the concentration of the troops of the “Southerners” at the 38th parallel continues.It is not excluded that new provocations against troops of the North Korean Government from the “Southerners” might take place, bringing larger forces into action than has occurred up to now. [Translator’s note: the following paragraph was highlighted in the left margin]. Considering this, we consider it advisable to recommend the Command of the Forces of the North Korean Government take proper steps to be ready to respond to possibly larger provocative action by the “Southerners”[signature] VASILEVSKY[signature] SHTEMENKO20 April 1949Nº 41064","['Vasilevsky, Aleksandr Mikhaylovich', 'Shtemenko, S. M. (Sergei Matveevich), 1907-1976']","['38th Parallel', 'Korea (North)--Foreign relations--Soviet Union', 'Korea (North)--Military relations--Soviet Union', 'Soviet Union--Foreign policy', 'Soviet Union--Military policy', 'Military assistance, Soviet--Korea (North)']"
5,Ciphered Telegram from Shtykov,19490502,"Ciphered TelegramStrictly SecretFrom PyongyangI report the results of the investigation I have organized of the information about the preparation for the withdrawal of American troops and the preparations of the South Korean army for an attack on North Korea, which were pointed out in your telegram. This information was received by the department of political security of the Ministry of Internal Affairs, which is occupied with intelligence gathering in the South.  However, this information, which was received by Korean intelligence at the beginning of April was not reported either to the chief of counterintelligence, who is the deputy minister, or to the minister of internal affairs, and consequently was not sent to the Korean government.The materials received were transferred by the chief of the department of political security to our military intelligence, through which, apparently, they were also received by you.Since this information was not reported either to the minister of internal affairs or to Prime Minister Kim Il Sung, or to our adviser at the ministry of internal affairs, I was also not informed of it.I consider such facts intolerable, I am taking measures toward their elimination and toward putting things in the necessary order.According to the information of our agents and the broadcasts of Seoul Radio, at the present time American and South Korean authorities are conducting negotiations about the withdrawal of American troops from South Korea.  The UN Commission is also participating in these talks, which is obvious from Rhee Syngman’s statement of 16 April, which stated: “…Representatives of the government of the Korean Republic and the government of the USA are presently conducting negotiations about the withdrawal of American troops from Korea.  The UN Commission on Korea has been informed of this.  Consultation with it will be a big help in these negotiations.”According to the statement of American ambassador Muccio on 19 April, the negotiations “will be concluded in the course of several months.”  The establishment of a precise time period for the withdrawal of American troops, according to Rhee Syngman’s statement of 19 April, “will depend on how much time is needed to prepare the army of the Korean Republic.”The minister of national defense of the South Korean government stated to correspondents that the South “has a sufficient number of troops to maintain order in the country after the withdrawal of American troops and, moreover, if North Korea attacks the South, the Army of National Defense not only can withstand it, but can also inflict a perceptible blow.”In connection with plans for a military intrusion into the North, South Korean authorities are increasing the size of the “Army of National Defense.”  According to the reports of our agents, the South Korean Army has increased from 53,600 soldiers as of 1 January 1949, to 70,000 as of the end of the first quarter [of the year].Special attention is paid to the technical, mechanical and special troops, which have grown by 2-4 times.  Measures have been taken to purge the army of ‘unreliable’ soldiers and officers.  Military units are being reinforced by reactionary-minded youths.  Americans are transferring to the South Koreans a significant quantity of various types of weapons and ammunition.  South Korean authorities are taking measures to receive weapons on a much larger scale.  This is the main purpose of Cho Byung-ok’s mission in Washington.South Korean authorities have concentrated a large number of troops in areas adjoining the 38th parallel.According to the information received, the total number of troops in this area has reached 41,000 persons.  The South Korean authorities are paying special attention to the Pyongyang direction.According to the report of the commander of a South Korean battalion, who is connected to the North’s intelligence service, the number of troops in the Pyongyang direction will be increased to 30,000.  The plans for the operation against the North have been worked out and in the first brigade they have already been passed to the battalion commanders.  The actions are supposedly planned for the month of June.  In connection with these plans the South Korean authorities are taking decisive measures to suppress uprisings in the South and to defeat completely the democratic movement.Agents of the South have set up terrorist and subversive groups in every province in the North, which are ordered to recruit new members, conduct espionage, and draft plans for uprisings.  In case military operations begin, they must carry out diversion, terror and organize an uprising.  These groups receive grenades and guns from the South, and, as arrested persons confess, in May they will receive additional weapons.  Such groups have been uncovered in Pyongyang (2), Haeju (1), and Sinuiju (1).I had meetings with Kim Il Sung and Pak Hon Yong regarding all these questions and agreed on carrying out the necessary preliminary measures. Measures have been taken to raise vigilance and strengthen the army and police of North Korea.2/V-49  SHTYKOV","['Shtykov, Terentiĭ Fomich, 1907-1964']","['Korean War, 1950-1953', 'Korea (South)--Military relations--United States', 'Korea (South)--Armed Forces']"
6,"Telegram, Shtykov to Stalin",19490915,,"['Shtykov, Terentiĭ Fomich, 1907-1964']","['Korea (North)--Armed Forces', 'Korea (North)--Foreign relations--Soviet Union', 'Korea (North)--Military relations--Soviet Union', 'Korea (North)--Foreign relations--Korea (South)', 'Korea (North)--Military policy', 'Border security--Korea (North)', 'Labor unions--Korea (North)', 'Political parties--Korea (North)', 'Technical assistance, Soviet--Korea (North)', 'Military assistance, Soviet--Korea (North)', 'National security--Korea (North)', 'Communism--Korea (North)', 'Infrastructure (Economics)--Korea (North)']"
7,"Cable Telegram no. 59363 from Kovalev to Stalin, containing a message from Mao Zedong",19491023,"[handwritten at the top: to Cde. Stalin][letterhead of the Second Main Directorate of the USSR Armed Forces General Staff] [Translator’s note: which is the GRU]TOP SECRETCABLE Nº 59363Copy Nº 1 to Cde. StalinCopy Nº 2 to Cde. StalinCopy Nº 3 to Cde. MolotovCopy Nº 4 to Cde. Malenkovfrom PEKINGreceived at 2300 23 October 1949Copy Nº 2[stamp: 4th unit of the VKP(b) CC OS [[special sector]]incoming Nº 36261/shs of 24 October 1949]to FILIPPOV [Stalin]“To Cde. FILIPPOV.I am sending you information received by our information organization in TIANJIN:1. On 25 June the Fatherland Front of KOREA made a decision about holding general elections in the country on 20 October.This decision was made at a moment when peace talks between the CPC and the Kuomintang were broken off, but units of the PLA had forced the Yangtze River and occupied the cities of SHANGHAI, NANKING, etc. These events raised the mood and morale of the population of South KOREA.At the same time the democratic leaders of North and South KOREA thought that this political offensive is a precondition of a military offensive which should be conducted in October. Their leadership also thought this was its strategic goal and therefore planned their work in this direction and sent large groups of cadre to South KOREA to perform underground work in order to prepare an action [vystuplenie] in October.The Worker’s Party of KOREA has actively mobilized the popular masses to support this struggle. The population of South KOREA also thought that the time was already ripe to display its loyal attitude. Thus both the progressive and also sympathetic elements were inspired to take part in the struggle. They either sheltered and protected revolutionary leaders or gave active support – they prepared for the action on time. At that time this fact forced SYNGMAN RHEE to abandon the forcible implementation of the military service law. 2. However, only minor clashes occurred during July at the 38th parallel, and by October complete calm was observed.A fourth session of the supreme council of the popular assembly was convened in North KOREA in October at which a fundamental amendment to the previously planned line was introduced.Explanations were made about this among senior officials that the goal of the political offensive had already been achieved, and inasmuch as South KOREA is not acting, therefore it is also not right for North KOREA to make the first shot. But this explanation was not made among low-level officials.3. The population of South KOREA was extremely disappointed as a result of all of this. Many think that the Worker’s Party had deceived them.The majority of officials sent to South KOREA from North KOREA were unmasked [or] compromised. The unworthy of them went over to the side of the enemy, but the sympathizers drew back.The reactionaries began reprisals in South KOREA beginning with the second half of October: almost all the members of the city committee of the Worker’s Party in SEOUL were arrested, thus its main position in South KOREA collapsed.The majority of the remaining senior officials from the CC of the Worker’s Party were also arrested except PAK [HYUNG-SIK] and some other people who sold out to the enemy.4. At the present time discussions about the political line have begun inside the Worker’s Party and the Fatherland Front.Both the revolutionary officials as well as sympathizers in South KOREA as well as sympathizers and people who took part in this struggle complain that the political slogans are not being implemented in practice. Now a loss has been inflicted by the enemy which has increased the difficulty in the matter of the unification and incorporation of South KOREA. It is especially sad that almost everything that the officials sent to South KOREA have been lost right now.I don’t know whether the above information corresponds to reality. But if it does then we ought to pay serious attention to this.[Translator’s note: the following paragraph was highlighted in the left MAO ZEDONG 21 October 1949”Nº 234 KOVALEV 23 OctoberDeciphered by Finenko at 0840 24 OctoberPrinted by Doronchenkova at 0920 24 OctoberFive copies printed, copy Nº 5 to fileNº 6998Verified by the shift chief – [illegible signature] 1100","['Mao, Zedong, 1893-1976', 'Kovalev, Ivan']","['Korean Worker’s Party', 'China--Foreign relations--Korea (North)', 'China--Foreign relations--Soviet Union', 'Korea (North)--Foreign relations--Korea (South)', 'Communist leadership--Korea (South)', 'Political parties--Korea (South)']"
8,Draft Reply to Mao Zedong's Telegram from Stalin via Molotov,19491026,"Telegram from Stalin to Mao ZedongMolotov's draft of 26 [October] 1949Top SecretDeclassifiedto Cdes. MALENKOV, BERIA, KAGANOVICH, and BULGANINI submit a draft reply to Cde. Mao Zedong's telegram addressed to Cde. Filippov [Stalin] on the issue of Korea (see Cde. Kovalev's telegram N 234)V. Molotov26 October 1949to KOVALEV and ROSHCHINPass the following reply to Mao Zedong in response to his telegram of 21 October:""To Cde. Mao Zedong.We agree with your opinion that the Korean Army ought not to pursue an attack at the present time. At one time we also pointed out to the Korean friends that the attack on the south by the Korean People's Army that they had planned should not be undertaken since this attack had not been prepared from either a military or a political standpoint.In our opinion at the present time the Korean comrades ought to concentrate their efforts in the struggle for the unification of Korea on developing a partisan movement, creating liberated areas in South Korea, and a comprehensive strengthening of the People's Army of Korea. FILIPPOV[""]Report by telegraph when this is done.Gromyko","['Gromyko, Andrei Andreevich, 1909-1989', 'Stalin, Joseph, 1879-1953', 'Molotov, Vyacheslav Mikhaylovich, 1890-1986']","['China--Military policy', 'Korean War, 1950-1953--Soviet Union', 'Soviet Union--Military policy', 'China--Foreign relations--Soviet Union', 'Korea (North)--Military policy', 'Korean War, 1950-1953--China', ""Korean People's Army""]"
9,Cable Telegram no. 20475 from Gromyko to Kovalev,19491105,USSR MFA		10th departmentTOP SECRETSpets Nº 198Outgoing Nº 20475Received at 0250 5 November 1949Sent at 0355 5 November 1949Cableto PEKINGto KOVALEVCopy Nº [blank]PRIORITYSPECIAL [Translator’s note: one version ofthis document has “via GRU cipher” here]Pass the following reply of Filippov [Stalin] to Mao Zedong in response to his telegram of 21 October:“To Cde. Mao Zedong.In connection with your telegram of 21 October on the question of Korea we consider it necessary to inform you that we hold to the same opinion on the question you touched upon and at one time [we] gave our advice to the Korean friends in the same spirit.FILIPPOV”Telegraph when this is done.GROMYKOFive copies printed. yan5 November 1949				Authenticated: [illegible signature]Copies1. to Cde. Stalin2. to Cde. Molotov3. to Cde. Malenkov4. to the 10th Department5. copy[handwritten: 12156/sh],"['Gromyko, Andrei Andreevich, 1909-1989']","['Korean Worker’s Party', 'China--Foreign relations--Soviet Union', ""Workers' Party of Korea""]"
