item,ismilitaryRankPIT,militaryRankStart,itemLabel,politicalPartyLabel,militaryRankLabel,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q48048,0,1939-01-01T00:00:00Z,Ivan Ignatyevich Yakubovsky,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q48102,0,1943-10-20T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48102,0,1936-01-01T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q48037,0,1944-05-17T00:00:00Z,Pyotr Koshevoy,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q48053,0,1940-06-04T00:00:00Z,Kirill Moskalenko,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q48100,0,1935-01-01T00:00:00Z,Nikolay Ivanovich Krylov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q48102,0,1959-05-08T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q48100,0,1938-02-17T00:00:00Z,Nikolay Ivanovich Krylov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q60084,0,1959-10-05T00:00:00Z,Mikhail Katukov,Communist Party of the Soviet Union,Marshal of the branch,,
http://www.wikidata.org/entity/Q60084,0,1936-01-01T00:00:00Z,Mikhail Katukov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q48093,0,1958-01-01T00:00:00Z,Nikolai Bulganin,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48048,0,1942-03-27T00:00:00Z,Ivan Ignatyevich Yakubovsky,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q48100,0,1944-07-15T00:00:00Z,Nikolay Ivanovich Krylov,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48112,0,1935-11-29T00:00:00Z,Ivan Bagramyan,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q48102,0,1938-02-22T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q48149,0,1943-01-19T00:00:00Z,Fyodor Tolbukhin,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q48102,0,1937-07-16T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,kombrig,,
http://www.wikidata.org/entity/Q48048,0,1958-02-18T00:00:00Z,Ivan Ignatyevich Yakubovsky,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48102,0,1940-06-04T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q48112,0,1943-11-17T00:00:00Z,Ivan Bagramyan,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q76311,0,1936-01-01T00:00:00Z,Semen Bogdanov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q48048,0,1942-11-30T00:00:00Z,Ivan Ignatyevich Yakubovsky,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q48149,0,1943-04-28T00:00:00Z,Fyodor Tolbukhin,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48053,0,1955-03-11T00:00:00Z,Kirill Moskalenko,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q48102,0,1939-02-09T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,Comcor,,
